date,move,range,time
49:45.6,open_mouth,31.06,7.68
49:48.4,open_mouth,34.01,2.03
49:52.8,open_mouth,33.02,3.63
49:55.5,smile,70.06,1.65
49:59.4,smile,70.11,3.8
50:01.6,kiss,53.08,1.15
50:04.3,kiss,51.04,1.77
50:40.7,up,67.62,13.73
50:48.1,up,36.25,7.1
50:50.2,up,41.11,1.81
50:54.7,up,62.17,4.37
50:57.5,up,47.8,2.54
51:17.4,aa,50.0,5.562777281
51:32.7,aa,50.0,5.921088219
51:40.7,aa,50.0,5.540438175
12:55.1,aa,50.0,7.912890196
07:09.6,aa,50.0,24.62883687
07:55.4,iy,50.0,15.92784452
08:09.3,iy,50.0,13.89453888
11:12.4,ow,50.0,181.436048
11:20.5,ow,50.0,8.097470045
11:35.7,ow,50.0,15.14016271
21:15.8,aa,50.0,5.65258503
22:20.3,iy,50.0,17.27371454
03:32.1,aa,50.0,8.918464422000001
03:43.2,aa,50.0,11.13278413
04:42.5,aa,50.0,6.497460842000001
04:55.5,eh,50.0,5.549985409
05:07.6,iy,50.0,5.14051199
21:18.7,open_mouth,39.05,4.0
21:20.6,open_mouth,35.01,0.13
55:27.0,aa,50.0,33.2677784
14:21.4,aa,50.0,21.68911505
2022-06-13 04:21:08.639224,aa,50.0,6.822069406509399
2022-06-13 04:26:59.912905,aa,50.0,5.744220733642578
2022-06-13 05:07:02.195269,open_mouth,34.01,12.16
2022-06-13 05:07:27.408128,open_mouth,38.01,16.03
2022-06-13 05:07:32.843947,smile,70.03,2.62
2022-06-13 05:07:36.071168,smile,70.06,3.07
2022-06-13 05:07:36.872041,smile,82.05,0.26
